Global seed set to 42
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to /scratch/MNIST/raw/train-images-idx3-ubyte.gz
  0%|          | 0/9912422 [00:00<?, ?it/s]100%|██████████| 9912422/9912422 [00:00<00:00, 148854160.31it/s]
Extracting /scratch/MNIST/raw/train-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw/train-labels-idx1-ubyte.gz
  0%|          | 0/28881 [00:00<?, ?it/s]100%|██████████| 28881/28881 [00:00<00:00, 102138021.77it/s]
Extracting /scratch/MNIST/raw/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz
  0%|          | 0/1648877 [00:00<?, ?it/s]100%|██████████| 1648877/1648877 [00:00<00:00, 119807559.92it/s]
Extracting /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz
  0%|          | 0/4542 [00:00<?, ?it/s]100%|██████████| 4542/4542 [00:00<00:00, 20843029.29it/s]
Extracting /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw

/home/lcur0640/.conda/envs/dl2022/lib/python3.10/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 3, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Using device cuda:0
====> Epoch 0 : Average loss: 1.3189, AE Loss: 0.0853, Discriminator Loss: 1.2215,         Generator Loss: 0.7773, Recon Loss: 0.0818, Loss Real 0.5886, Loss Fake 0.6329,          Accuracy 0.7500
====> Epoch 1 : Average loss: 1.3019, AE Loss: 0.0801, Discriminator Loss: 1.3707,         Generator Loss: 0.7820, Recon Loss: 0.0765, Loss Real 0.6846, Loss Fake 0.6862,          Accuracy 0.5938
====> Epoch 2 : Average loss: 1.3170, AE Loss: 0.0736, Discriminator Loss: 1.1703,         Generator Loss: 0.8094, Recon Loss: 0.0699, Loss Real 0.5553, Loss Fake 0.6150,          Accuracy 0.7344
====> Epoch 3 : Average loss: 1.2773, AE Loss: 0.0737, Discriminator Loss: 1.1887,         Generator Loss: 0.8569, Recon Loss: 0.0698, Loss Real 0.5990, Loss Fake 0.5897,          Accuracy 0.7500
====> Epoch 4 : Average loss: 1.2163, AE Loss: 0.0728, Discriminator Loss: 1.1657,         Generator Loss: 0.8258, Recon Loss: 0.0690, Loss Real 0.5461, Loss Fake 0.6196,          Accuracy 0.7344
====> Epoch 5 : Average loss: 1.1866, AE Loss: 0.0527, Discriminator Loss: 1.1570,         Generator Loss: 0.9626, Recon Loss: 0.0482, Loss Real 0.6156, Loss Fake 0.5414,          Accuracy 0.7188
====> Epoch 6 : Average loss: 1.1865, AE Loss: 0.0578, Discriminator Loss: 1.1447,         Generator Loss: 0.8597, Recon Loss: 0.0538, Loss Real 0.5356, Loss Fake 0.6092,          Accuracy 0.7656
====> Epoch 7 : Average loss: 1.1939, AE Loss: 0.0596, Discriminator Loss: 1.1627,         Generator Loss: 0.9309, Recon Loss: 0.0553, Loss Real 0.5504, Loss Fake 0.6123,          Accuracy 0.6406
====> Epoch 8 : Average loss: 1.1963, AE Loss: 0.0637, Discriminator Loss: 1.1596,         Generator Loss: 0.8976, Recon Loss: 0.0595, Loss Real 0.5209, Loss Fake 0.6387,          Accuracy 0.7188
====> Epoch 9 : Average loss: 1.1960, AE Loss: 0.0607, Discriminator Loss: 1.3009,         Generator Loss: 0.8943, Recon Loss: 0.0565, Loss Real 0.6663, Loss Fake 0.6346,          Accuracy 0.6406
====> Epoch 10 : Average loss: 1.1917, AE Loss: 0.0595, Discriminator Loss: 1.3053,         Generator Loss: 0.8751, Recon Loss: 0.0554, Loss Real 0.6328, Loss Fake 0.6725,          Accuracy 0.6406
